product,strategy_name,profit_factor,sharpe_ratio
KELP,sma5x20,0.017937219730941704,-13.110825574427132
RAINFOREST_RESIN,sma5x20,0.016029593094944512,-14.728961785896491
SQUID_INK,sma5x20,0.8541666666666666,-0.44540524645050517
KELP,sma10x30,0.006289308176100629,-11.150626407790265
RAINFOREST_RESIN,sma10x30,0.03333333333333333,-11.988105545850544
SQUID_INK,sma10x30,0.6153846153846154,-1.1008748091398601
KELP,sma15x30,0.0380952380952381,-8.149884827792736
RAINFOREST_RESIN,sma15x30,0.24010554089709762,-5.738600930879231
SQUID_INK,sma15x30,1.0104712041884816,0.020502562678985203
KELP,sma10x40,0.0,-13.152893511585754
RAINFOREST_RESIN,sma10x40,0.03691275167785235,-12.798960870744885
SQUID_INK,sma10x40,0.9075144508670521,-0.17936391306935354
KELP,sma15x40,0.1206896551724138,-6.263926329799134
RAINFOREST_RESIN,sma15x40,0.07954545454545454,-10.12455243853166
SQUID_INK,sma15x40,0.7843137254901961,-0.4874927606855345
KELP,sma20x40,0.2,-4.094291658072273
RAINFOREST_RESIN,sma20x40,0.10773480662983426,-7.299468683013479
SQUID_INK,sma20x40,0.6339869281045751,-0.878621081430415
